scheduleId,line,trainNumber,startStation,startTime,endStation,endTime,status,remarks
HB87-516-1,harbour,ER TPL8,JNJ,5:10:00,PNVL,5:33:00,cancelled,
HB87-516-2,harbour,TPL8,PNVL,5:44:00,TNA,6:38:00,cancelled,
HB87-516-3,harbour,TNU5,TNA,6:46:00,NEU,7:18:00,cancelled,
HB87-516-4,harbour,P/PL35,NEU,7:57:00,PNVL,8:19:00,active,
HB87-517-1,harbour,P/PL44,PNVL,8:56:00,VSH,9:27:00,active,
HB87-517-2,harbour,TV30,VSH,9:50:00,TNA,10:19:00,active,
HB87-517-3,harbour,TPL19,TNA,10:39:00,PNVL,11:34:00,cancelled,
HB87-517-4,harbour,ER SCS,PNVL,11:48:00,SCS,12:11:00,cancelled,
HB87-517-5,harbour,ER TPL48,JNJ,15:32:00,PNVL,15:58:00,cancelled,
HB87-518-1,harbour,P/PL48,PNVL,9:17:00,NEU,9:39:00,active,
HB87-518-2,harbour,TNU20,NEU,9:59:00,TNA,10:31:00,cancelled,
HB87-518-3,harbour,TV37,TNA,10:48:00,VSH,11:17:00,active,
HB87-518-4,harbour,TV48,VSH,12:12:00,TNA,12:41:00,active,
HB87-518-5,harbour,TNU35,TNA,13:10:00,NEU,13:40:00,active,
HB87-518-6,harbour,TNU38,NEU,14:15:00,TNA,14:45:00,active,
HB87-518-7,harbour,TV63,TNA,15:00,VSH,15:29:00,active,
HB87-518-8,harbour,P/PL123,VSH,15:57:00,PNVL,16:28:00,active,
HB87-519-1,harbour,PL126,PNVL,16:30:00,CSMT,17:49:00,active,
HB87-519-2,harbour,B67,CSMT,19:24:00,BA,19:54:00,active,
HB87-519-3,harbour,B70,BA,20:02:00,CSMT,20:32:00,active,
HB87-519-4,harbour,PL191,CSMT,21:54:00,PNVL,23:14:00,active,
HB87-520-1,harbour,PL22,PNVL,6:29:00,CSMT,7:48:00,active,
HB87-520-2,harbour,PL55,CSMT,8:54:00,PNVL,10:14:00,active,
HB87-521-1,harbour,P/PL52,PNVL,9:40:00,VSH,10:11:00,active,
HB87-521-2,harbour,TV34,VSH,10:31:00,TNA,11:00:00,active,
HB87-521-3,harbour,TV41,TNA,11:20:00,VSH,11:49:00,active,
HB87-521-4,harbour,TV54,VSH,13:21:00,TNA,13:50:00,active,
HB87-521-5,harbour,TNU39,TNA,14:13:00,NEU,14:43:00,active,
HB87-521-6,harbour,TNU40,NEU,15:00:00,TNA,15:30:00,active,
HB87-521-7,harbour,P/TPL37,TNA,16:00:00,PNVL,16:52:00,active,
HB87-522-1,harbour,P/PL62,PNVL,10:49:00,NEU,11:11:00,active,
HB87-522-2,harbour,UNU9,NEU,11:40:00,URAN,12:23:00,active,
HB87-522-3,harbour,UNU14,URAN,16:00:00,NEU,16:43:00,active,
HB87-522-4,harbour,P/PL137,NEU,17:06:00,PNVL,17:28:00,active,
HB87-523-1,harbour,TPL50,PNVL,16:26:00,TNA,17:20:00,active,
HB87-523-2,harbour,TV85,TNA,18:06:00,VSH,18:35:00,active,
HB87-523-3,harbour,TV92,VSH,19:01:00,TNA,19:30:00,active,
HB87-523-4,harbour,TV97,TNA,19:54:00,VSH,20:23:00,active,
HB87-523-5,harbour,TV110,VSH,21:37:00,TNA,22:06:00,active,
HB87-524-1,harbour,TV1,TNA,5:25:00,VSH,5:54:00,active,
HB87-524-2,harbour,TV6,VSH,6:02:00,TNA,6:31:00,active,
