signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
L-042,,,CSMT-KYN,UP LOC,UP,PF STR,,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-040,,,CSMT-KYN,UP LOC,UP,,12/211,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-038,,,CSMT-KYN,UP LOC,UP,,11/223,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
DR S-27,DR,Dadar,CSMT-KYN,UP LOC,UP,,11/205,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,1,1,RI: UP TH S-32 ; YD,Book shows route indicator with UP TH S-32 and YD (RHS),,,,1
L-036,,,CSMT-KYN,UP LOC,UP,,10/221,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
DR S-33,DR,Dadar,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-032,,,CSMT-KYN,UP LOC,UP,,,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
DR S-36,DR,Dadar,CSMT-KYN,UP LOC,UP,,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
DR S-41,DR,Dadar,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
PR S-28,PR,Parel,CSMT-KYN,UP LOC,UP,,8/221,,,,Semi-Automatic,,Left,,,0,0,1,0,1,0,0,0,0,PF-2A,Book shows flag marker PF-2A,,,,1
PR S-26,PR,Parel,CSMT-KYN,UP LOC,UP,,8/201,,,,Semi-Automatic,,Right,Left,,1,0,0,0,1,0,0,0,0,,,,,,1
PR S-12,PR,Parel,CSMT-KYN,UP LOC,UP,,7/231,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,UP TH S-14,Book shows flag marker referencing UP TH S-14 (RHS),,,,1
L-028,,,CSMT-KYN,UP LOC,UP,,7/203,,,,Automatic,,Extreme Right,Left,,0,1,0,0,0,0,0,0,0,,,,,,1
L-026,,,CSMT-KYN,UP LOC,UP,,6/229,,,,Automatic,,Extreme Right,Left,,0,1,0,0,0,0,0,0,0,,,,,,1
