signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
K-5002,,,CSMT-KYN,UP TH,UP,50/405,50/405,50.641,19.22792,73.10359,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,300,,1
K-4910,,,CSMT-KYN,UP TH,UP,49/435,49/435,50.227,19.2266,73.09961,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,300,,1
K-4902,,,CSMT-KYN,UP TH,UP,49/409,49/409,49.867,19.22428,73.09509,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,300,,1
K-4814,,,CSMT-KYN,UP TH,UP,48/435,48/435,49.098,19.22205,73.09221,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,300,,1
DI S-41,DI,Dombivli,CSMT-KYN,UP TH,UP,48/413,48/413,48.568,19.21938,73.08876,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
DI S-33,DI,Dombivli,CSMT-KYN,UP TH,UP,PF-5 STR,,48.223,19.21649,73.08484,Semi-Automatic,,Left,,,0,0,1,0,0,1,0,1,0,RI:L1= S-18,Book shows one left arm on top of vertical stem,,300,,1
K-4708,,,CSMT-KYN,UP TH,UP,47/415,47/415,47.883,19.21478,73.08255,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-4702,,,CSMT-KYN,UP TH,UP,47/403,47/403,47.383,19.21261,73.07968,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-4610,,,CSMT-KYN,UP TH,UP,46/417,46/417,46.71,19.20887,73.07471,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,500,,1
K-4512,,,CSMT-KYN,UP TH,UP,45/427,45/427,46.01,19.20517,73.06983,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,300,,1
K-4508,,,CSMT-KYN,UP TH,UP,45/415,45/415,45.31,19.20317,73.06715,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,300,,1
K-4502,,,CSMT-KYN,UP TH,UP,45/403,45/403,44.922,19.20099,73.06426,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-4410,,,CSMT-KYN,UP TH,UP,44/427,44/427,44.65,19.1988,73.06134,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-4404,,,CSMT-KYN,UP TH,UP,44/413,44/413,44.415,19.1966,73.05842,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,250,,1
