train_no,train_name,direction,from_station,to_station,run_days,,,,
22475,HSR-CBE-HSR AC EXP,UP,BSR,RN,4,,,,
22476,HSR-CBE-HSR AC EXP,UP,RN,BSR,7,,,,
22497,SGNR-TPI-SGNR HUMSAFAR EXP,UP,,,2,,,,
22498,SGNR-TPI-SGNR HUMSAFAR EXP,UP,PUNE,BSR,6,,,,
22511,LTT-KYQ KARMABHOOMI EXP,DN,LTT,IGP,2,,,,
22512,LTT-KYQ KARMABHOOMI EXP,UP,IGP,LTT,1,,,,
22537,LTT-GKP KUSHINAGAR EXP,UP,IGP,LTT,DAILY,,,,
22538,LTT-GKP KUSHINAGAR EXP,DN,LTT,IGP,DAILY,,,,
22553,LTT-RXL ANTYODAY EXP,UP,IGP,LTT,3,,,,
22554,LTT-RXL ANTYODAY EXP,DN,LTT,IGP,3,,,,
22583,LTT-CPR ANTYODAY EXP,UP,IGP,LTT,4,,,,
22584,LTT-CPR ANTYODAY EXP,DN,LTT,IGP,4,,,,
22629,LTT-TEN-DR EXP,DN,LTT,RN,4,,,,
22630,LTT-TEN-LTT EXP,UP,RN,LTT,4,,,,
22633,TVC-Hazrat Nizamuddin SF express,UP,RN,BSR,4,,,,
22634,TVC-Hazrat Nizamuddin SF express,DN,BSR,RN,6,,,,
22653,NZM-TVC-NZM SF EXP,UP,BSR,ROHA,7,,,,
22654,NZM-TVC-NZM SF EXP,DN,,,1,,,,
22655,Ernakulan jn-Hazrat Nizamuddin SF express,UP,BSR,ROHA,4,,,,
