signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
TCY S-2,TCY,Thakurli,CSMT-KYN,DN LOC,DN,THK PF STR,,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,REV LINE FOR CHOLA SDG,Curve arrow shown before location text in book,,,,1
TCY S-3,TCY,Thakurli,CSMT-KYN,DN LOC,DN,,50/110,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-5011,,,CSMT-KYN,DN LOC,DN,,50/132,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
KYN S-2,KYN,Kalyan,CSMT-KYN,DN LOC,DN,,51/104,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,3,0,RI: TH S-12 ; 5TH S-9 ; KYN YD,Book shows three-route indicator (TH S-12 / 5TH S-9 / KYN YD),,,,1
KYN S-11,KYN,Kalyan,CSMT-KYN,DN LOC,DN,,51/132,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,DN TH S-13,Book shows flag marker referencing DN TH S-13,,,,1
KYN S-10,KYN,Kalyan,CSMT-KYN,DN LOC,DN,,52/108,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,1,1,RI: S-28 ; PF-1,Book shows route indicator with S-28 and PF-1,,,,1
KYN S-28,KYN,Kalyan,CSMT-KYN,DN LOC,DN,,52/64,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,1,1,RI: PF-1 ; Y-PF-1A,Book shows route indicator with PF-1 and Y-PF-1A,,,,1
KYN S-32,KYN,Kalyan,CSMT-KYN,DN LOC,DN,,52/133,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,PF-3,Book shows flag marker PF-3 (RHS),,,,1
KYN S-49,KYN,Kalyan,CSMT-KYN,DN LOC,DN,PF-1 DN STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
KYN S-52,KYN,Kalyan,CSMT-KYN,DN LOC,DN,PF-1A DN STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
KYN S-53,KYN,Kalyan,CSMT-KYN,DN LOC,DN,PF-2 DN STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,SE,Book shows flag marker SE (RHS),,,,1
KYN S-54,KYN,Kalyan,CSMT-KYN,DN LOC,DN,PF-3 DN STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,SE,Book shows flag marker SE,,,,1
